entry,at,order
"-- ending hand #230 --",2023-02-21T10:06:01.172Z,167697396117202
"""Bane @ 7a-8LfcZvI"" collected 11.50 from pot",2023-02-21T10:06:01.172Z,167697396117201
"Uncalled bet of 13.00 returned to ""Bane @ 7a-8LfcZvI""",2023-02-21T10:06:01.172Z,167697396117200
"""griff @ mUFeuo2kVm"" folds",2023-02-21T10:06:00.353Z,167697396035300
"""Bane @ 7a-8LfcZvI"" bets 13.00",2023-02-21T10:05:55.644Z,167697395564400
"River: 10♣, J♠, K♠, 7♠ [7♣]",2023-02-21T10:05:41.304Z,167697394130400
"""griff @ mUFeuo2kVm"" calls 2.75",2023-02-21T10:05:40.503Z,167697394050300
"""Firas @ 8s8H-GlDfP"" folds",2023-02-21T10:05:38.902Z,167697393890200
"""Bane @ 7a-8LfcZvI"" bets 2.75",2023-02-21T10:05:37.865Z,167697393786500
"Turn: 10♣, J♠, K♠ [7♠]",2023-02-21T10:05:20.691Z,167697392069100
"""griff @ mUFeuo2kVm"" calls 1.00",2023-02-21T10:05:19.803Z,167697391980300
"""Firas @ 8s8H-GlDfP"" calls 1.00",2023-02-21T10:05:10.431Z,167697391043100
"""Bane @ 7a-8LfcZvI"" bets 1.00",2023-02-21T10:05:05.308Z,167697390530800
"Flop:  [10♣, J♠, K♠]",2023-02-21T10:04:54.069Z,167697389406900
"""griff @ mUFeuo2kVm"" checks",2023-02-21T10:04:53.217Z,167697389321700
"""Firas @ 8s8H-GlDfP"" calls 1.00",2023-02-21T10:04:45.068Z,167697388506800
"The admin ""Cal @ E18ViE79KI"" enqueued the game stop on next hand.",2023-02-21T10:04:39.754Z,167697387975400
"""Bane @ 7a-8LfcZvI"" calls 1.00",2023-02-21T10:04:37.592Z,167697387759200
"""Cal @ E18ViE79KI"" folds",2023-02-21T10:04:36.282Z,167697387628200
"""griff @ mUFeuo2kVm"" posts a straddle of 1.00",2023-02-21T10:04:34.172Z,167697387417208
"""Firas @ 8s8H-GlDfP"" posts a big blind of 0.50",2023-02-21T10:04:34.172Z,167697387417207
"""Bane @ 7a-8LfcZvI"" posts a small blind of 0.25",2023-02-21T10:04:34.172Z,167697387417206
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (369.10) | #7 ""Cal @ E18ViE79KI"" (224.74) | #8 ""Bane @ 7a-8LfcZvI"" (71.14) | #9 ""Firas @ 8s8H-GlDfP"" (311.24)",2023-02-21T10:04:34.172Z,167697387417201
"-- starting hand #230 (id: mu4sv76qxthl)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2023-02-21T10:04:34.172Z,167697387417200
"-- ending hand #229 --",2023-02-21T10:04:28.167Z,167697386816703
"""Bane @ 7a-8LfcZvI"" shows a 3♣, J♥.",2023-02-21T10:04:28.167Z,167697386816702
"""Firas @ 8s8H-GlDfP"" collected 1.25 from pot with Pair, 7's (combination: 7♣, 7♠, A♥, 10♣, 6♣)",2023-02-21T10:04:28.167Z,167697386816701
"""Firas @ 8s8H-GlDfP"" shows a A♥, 7♣.",2023-02-21T10:04:28.167Z,167697386816700
"""Firas @ 8s8H-GlDfP"" checks",2023-02-21T10:04:27.304Z,167697386730400
"""Bane @ 7a-8LfcZvI"" checks",2023-02-21T10:04:26.161Z,167697386616100
"River: 6♣, 4♦, 2♥, 7♠ [10♣]",2023-02-21T10:04:23.236Z,167697386323600
"""Firas @ 8s8H-GlDfP"" checks",2023-02-21T10:04:22.432Z,167697386243200
"""Bane @ 7a-8LfcZvI"" checks",2023-02-21T10:04:17.802Z,167697385780200
"Turn: 6♣, 4♦, 2♥ [7♠]",2023-02-21T10:04:13.434Z,167697385343400
"""Firas @ 8s8H-GlDfP"" checks",2023-02-21T10:04:12.606Z,167697385260600
"""Bane @ 7a-8LfcZvI"" checks",2023-02-21T10:04:02.040Z,167697384204000
"Flop:  [6♣, 4♦, 2♥]",2023-02-21T10:03:59.022Z,167697383902200
"""Bane @ 7a-8LfcZvI"" checks",2023-02-21T10:03:58.167Z,167697383816700
"""Cal @ E18ViE79KI"" folds",2023-02-21T10:03:56.194Z,167697383619400
"""griff @ mUFeuo2kVm"" folds",2023-02-21T10:03:51.762Z,167697383176200
"""Firas @ 8s8H-GlDfP"" calls 0.50",2023-02-21T10:03:50.816Z,167697383081600
"""Bane @ 7a-8LfcZvI"" posts a big blind of 0.50",2023-02-21T10:03:40.815Z,167697382081508
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2023-02-21T10:03:40.815Z,167697382081507
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (369.10) | #7 ""Cal @ E18ViE79KI"" (224.99) | #8 ""Bane @ 7a-8LfcZvI"" (71.64) | #9 ""Firas @ 8s8H-GlDfP"" (310.49)",2023-02-21T10:03:40.815Z,167697382081502
"-- starting hand #229 (id: 2gf7yy68ibhr)  (No Limit Texas Hold'em) (dead button) --",2023-02-21T10:03:40.815Z,167697382081501
"The player ""ChunkNasty @ ltmSHU_yjH"" quits the game with a stack of 0.00.",2023-02-21T10:03:40.815Z,167697382081500
"-- ending hand #228 --",2023-02-21T10:03:34.720Z,167697381472003
"""ChunkNasty @ ltmSHU_yjH"" shows a K♦, A♣.",2023-02-21T10:03:34.720Z,167697381472002
"""Firas @ 8s8H-GlDfP"" collected 287.65 from pot with Three of a Kind, 8's (combination: 8♠, 8♣, 8♦, J♠, 9♣)",2023-02-21T10:03:34.720Z,167697381472001
"""Firas @ 8s8H-GlDfP"" shows a 8♠, 8♣.",2023-02-21T10:03:34.720Z,167697381472000
"""Firas @ 8s8H-GlDfP"" calls 69.78",2023-02-21T10:03:33.908Z,167697381390800
"""ChunkNasty @ ltmSHU_yjH"" bets 69.78 and go all in",2023-02-21T10:03:01.090Z,167697378109000
"River: 9♣, 7♣, 8♦, J♠ [4♦]",2023-02-21T10:02:36.772Z,167697375677200
"""Firas @ 8s8H-GlDfP"" checks",2023-02-21T10:02:35.924Z,167697375592400
"""ChunkNasty @ ltmSHU_yjH"" checks",2023-02-21T10:02:32.600Z,167697375260000
"Turn: 9♣, 7♣, 8♦ [J♠]",2023-02-21T10:02:23.274Z,167697374327400
"""ChunkNasty @ ltmSHU_yjH"" calls 52.17",2023-02-21T10:02:22.442Z,167697374244200
"""Firas @ 8s8H-GlDfP"" raises to 52.17",2023-02-21T10:02:01.245Z,167697372124500
"""ChunkNasty @ ltmSHU_yjH"" bets 15.55",2023-02-21T10:01:07.042Z,167697366704200
"Flop:  [9♣, 7♣, 8♦]",2023-02-21T10:00:36.615Z,167697363661500
"""ChunkNasty @ ltmSHU_yjH"" calls 20.25",2023-02-21T10:00:35.761Z,167697363576100
"""griff @ mUFeuo2kVm"" folds",2023-02-21T10:00:26.491Z,167697362649100
"""Firas @ 8s8H-GlDfP"" raises to 20.25",2023-02-21T10:00:22.320Z,167697362232000
"""Cal @ E18ViE79KI"" folds",2023-02-21T10:00:06.987Z,167697360698700
"""ChunkNasty @ ltmSHU_yjH"" raises to 10.00",2023-02-21T10:00:05.995Z,167697360599500
"""griff @ mUFeuo2kVm"" calls 2.75",2023-02-21T09:59:53.158Z,167697359315800
"""Firas @ 8s8H-GlDfP"" raises to 2.75",2023-02-21T09:59:39.512Z,167697357951200
"""Bane @ 7a-8LfcZvI"" folds",2023-02-21T09:59:17.137Z,167697355713700
"""Cal @ E18ViE79KI"" posts a big blind of 0.50",2023-02-21T09:59:15.353Z,167697355535308
"""ChunkNasty @ ltmSHU_yjH"" posts a small blind of 0.25",2023-02-21T09:59:15.353Z,167697355535307
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (371.85) | #4 ""ChunkNasty @ ltmSHU_yjH"" (142.20) | #7 ""Cal @ E18ViE79KI"" (225.49) | #8 ""Bane @ 7a-8LfcZvI"" (71.64) | #9 ""Firas @ 8s8H-GlDfP"" (165.04)",2023-02-21T09:59:15.353Z,167697355535301
"-- starting hand #228 (id: fahilsve3w1j)  (No Limit Texas Hold'em) (dealer: ""griff @ mUFeuo2kVm"") --",2023-02-21T09:59:15.353Z,167697355535300
"-- ending hand #227 --",2023-02-21T09:59:12.447Z,167697355244702
"""ChunkNasty @ ltmSHU_yjH"" collected 34.25 from pot",2023-02-21T09:59:12.447Z,167697355244701
"Uncalled bet of 20.55 returned to ""ChunkNasty @ ltmSHU_yjH""",2023-02-21T09:59:12.447Z,167697355244700
"""Firas @ 8s8H-GlDfP"" folds",2023-02-21T09:59:11.587Z,167697355158700
"""Bane @ 7a-8LfcZvI"" folds",2023-02-21T09:59:10.602Z,167697355060200
"""ChunkNasty @ ltmSHU_yjH"" bets 20.55",2023-02-21T09:57:57.353Z,167697347735300
"Turn: 7♣, 8♠, 2♠ [10♣]",2023-02-21T09:57:41.381Z,167697346138100
"""Firas @ 8s8H-GlDfP"" calls 10.00",2023-02-21T09:57:40.515Z,167697346051500
"""Bane @ 7a-8LfcZvI"" calls 10.00",2023-02-21T09:57:35.861Z,167697345586100
"""Cal @ E18ViE79KI"" folds",2023-02-21T09:57:09.074Z,167697342907400
"""ChunkNasty @ ltmSHU_yjH"" raises to 10.00",2023-02-21T09:57:08.098Z,167697342809800
"""Firas @ 8s8H-GlDfP"" calls 3.50",2023-02-21T09:57:00.422Z,167697342042200
"""Bane @ 7a-8LfcZvI"" bets 3.50",2023-02-21T09:56:56.378Z,167697341637800
"""Cal @ E18ViE79KI"" checks",2023-02-21T09:56:49.568Z,167697340956800
"""ChunkNasty @ ltmSHU_yjH"" checks",2023-02-21T09:56:47.761Z,167697340776100
"Flop:  [7♣, 8♠, 2♠]",2023-02-21T09:56:44.346Z,167697340434600
"""Cal @ E18ViE79KI"" checks",2023-02-21T09:56:43.492Z,167697340349200
"""ChunkNasty @ ltmSHU_yjH"" calls 1.00",2023-02-21T09:56:40.271Z,167697340027100
"""griff @ mUFeuo2kVm"" folds",2023-02-21T09:56:30.534Z,167697339053400
"""Firas @ 8s8H-GlDfP"" calls 1.00",2023-02-21T09:56:29.508Z,167697338950800
"""Bane @ 7a-8LfcZvI"" calls 1.00",2023-02-21T09:56:26.297Z,167697338629700
"""Cal @ E18ViE79KI"" posts a straddle of 1.00",2023-02-21T09:56:23.536Z,167697338353609
"""ChunkNasty @ ltmSHU_yjH"" posts a big blind of 0.50",2023-02-21T09:56:23.536Z,167697338353608
"""griff @ mUFeuo2kVm"" posts a small blind of 0.25",2023-02-21T09:56:23.536Z,167697338353607
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (372.10) | #4 ""ChunkNasty @ ltmSHU_yjH"" (118.95) | #7 ""Cal @ E18ViE79KI"" (226.49) | #8 ""Bane @ 7a-8LfcZvI"" (82.64) | #9 ""Firas @ 8s8H-GlDfP"" (176.04)",2023-02-21T09:56:23.536Z,167697338353601
"-- starting hand #227 (id: 6nfqoiwxdfuj)  (No Limit Texas Hold'em) (dealer: ""Firas @ 8s8H-GlDfP"") --",2023-02-21T09:56:23.536Z,167697338353600
"-- ending hand #226 --",2023-02-21T09:56:20.593Z,167697338059302
"""Firas @ 8s8H-GlDfP"" collected 3.50 from pot",2023-02-21T09:56:20.593Z,167697338059301
"Uncalled bet of 1.00 returned to ""Firas @ 8s8H-GlDfP""",2023-02-21T09:56:20.593Z,167697338059300
"""ChunkNasty @ ltmSHU_yjH"" folds",2023-02-21T09:56:19.753Z,167697337975300
"""Firas @ 8s8H-GlDfP"" bets 1.00",2023-02-21T09:56:17.466Z,167697337746600
"Turn: Q♦, A♠, 4♠ [Q♣]",2023-02-21T09:56:11.130Z,167697337113000
"""ChunkNasty @ ltmSHU_yjH"" checks",2023-02-21T09:56:10.242Z,167697337024200
"""Firas @ 8s8H-GlDfP"" checks",2023-02-21T09:56:08.752Z,167697336875200
"Flop:  [Q♦, A♠, 4♠]",2023-02-21T09:56:01.924Z,167697336192400
"""ChunkNasty @ ltmSHU_yjH"" calls 1.50",2023-02-21T09:56:01.103Z,167697336110300
"""griff @ mUFeuo2kVm"" folds",2023-02-21T09:55:59.710Z,167697335971000
"""Firas @ 8s8H-GlDfP"" raises to 1.50",2023-02-21T09:55:58.644Z,167697335864400
"""Bane @ 7a-8LfcZvI"" folds",2023-02-21T09:55:53.818Z,167697335381800
"""Cal @ E18ViE79KI"" folds",2023-02-21T09:55:52.840Z,167697335284000
"""ChunkNasty @ ltmSHU_yjH"" posts a straddle of 1.00",2023-02-21T09:55:51.113Z,167697335111309
"""griff @ mUFeuo2kVm"" posts a big blind of 0.50",2023-02-21T09:55:51.113Z,167697335111308
"""Firas @ 8s8H-GlDfP"" posts a small blind of 0.25",2023-02-21T09:55:51.113Z,167697335111307
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (372.60) | #4 ""ChunkNasty @ ltmSHU_yjH"" (120.45) | #7 ""Cal @ E18ViE79KI"" (226.49) | #8 ""Bane @ 7a-8LfcZvI"" (82.64) | #9 ""Firas @ 8s8H-GlDfP"" (174.04)",2023-02-21T09:55:51.113Z,167697335111301
"-- starting hand #226 (id: idrbohjiemkq)  (No Limit Texas Hold'em) (dealer: ""Bane @ 7a-8LfcZvI"") --",2023-02-21T09:55:51.113Z,167697335111300
"-- ending hand #225 --",2023-02-21T09:55:48.111Z,167697334811102
"""ChunkNasty @ ltmSHU_yjH"" collected 29.25 from pot",2023-02-21T09:55:48.111Z,167697334811101
"Uncalled bet of 17.05 returned to ""ChunkNasty @ ltmSHU_yjH""",2023-02-21T09:55:48.111Z,167697334811100
"""Cal @ E18ViE79KI"" folds",2023-02-21T09:55:47.263Z,167697334726300
"""ChunkNasty @ ltmSHU_yjH"" bets 17.05",2023-02-21T09:55:28.376Z,167697332837600
"Flop:  [3♥, 6♣, 2♦]",2023-02-21T09:55:11.692Z,167697331169200
"""Firas @ 8s8H-GlDfP"" folds",2023-02-21T09:55:10.839Z,167697331083900
"""Cal @ E18ViE79KI"" calls 12.50",2023-02-21T09:55:08.903Z,167697330890300
"""ChunkNasty @ ltmSHU_yjH"" raises to 12.50",2023-02-21T09:54:57.018Z,167697329701800
"""griff @ mUFeuo2kVm"" folds",2023-02-21T09:54:42.073Z,167697328207300
"""Firas @ 8s8H-GlDfP"" calls 3.00",2023-02-21T09:54:41.139Z,167697328113900
"""Bane @ 7a-8LfcZvI"" folds",2023-02-21T09:54:37.089Z,167697327708900
"""Cal @ E18ViE79KI"" raises to 3.00",2023-02-21T09:54:32.261Z,167697327226100
"""ChunkNasty @ ltmSHU_yjH"" calls 1.00",2023-02-21T09:54:27.394Z,167697326739400
"""griff @ mUFeuo2kVm"" posts a straddle of 1.00",2023-02-21T09:54:20.037Z,167697326003709
"""Firas @ 8s8H-GlDfP"" posts a big blind of 0.50",2023-02-21T09:54:20.037Z,167697326003708
"""Bane @ 7a-8LfcZvI"" posts a small blind of 0.25",2023-02-21T09:54:20.037Z,167697326003707
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (373.60) | #4 ""ChunkNasty @ ltmSHU_yjH"" (103.70) | #7 ""Cal @ E18ViE79KI"" (238.99) | #8 ""Bane @ 7a-8LfcZvI"" (82.89) | #9 ""Firas @ 8s8H-GlDfP"" (177.04)",2023-02-21T09:54:20.037Z,167697326003701
"-- starting hand #225 (id: yrv0w9ccf4fe)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2023-02-21T09:54:20.037Z,167697326003700
"-- ending hand #224 --",2023-02-21T09:54:17.108Z,167697325710802
"""ChunkNasty @ ltmSHU_yjH"" collected 6.75 from pot",2023-02-21T09:54:17.108Z,167697325710801
"Uncalled bet of 3.80 returned to ""ChunkNasty @ ltmSHU_yjH""",2023-02-21T09:54:17.108Z,167697325710800
"""griff @ mUFeuo2kVm"" folds",2023-02-21T09:54:16.293Z,167697325629300
"""Firas @ 8s8H-GlDfP"" folds",2023-02-21T09:54:12.883Z,167697325288300
"""ChunkNasty @ ltmSHU_yjH"" bets 3.80",2023-02-21T09:54:11.805Z,167697325180500
"""griff @ mUFeuo2kVm"" checks",2023-02-21T09:54:01.744Z,167697324174400
"""Firas @ 8s8H-GlDfP"" checks",2023-02-21T09:54:00.276Z,167697324027600
"Flop:  [Q♣, 2♦, 2♣]",2023-02-21T09:53:57.026Z,167697323702600
"""griff @ mUFeuo2kVm"" calls 2.00",2023-02-21T09:53:56.169Z,167697323616900
"""Firas @ 8s8H-GlDfP"" calls 2.00",2023-02-21T09:53:50.283Z,167697323028300
"""Bane @ 7a-8LfcZvI"" folds",2023-02-21T09:53:47.591Z,167697322759100
"""Cal @ E18ViE79KI"" folds",2023-02-21T09:53:46.428Z,167697322642800
"""ChunkNasty @ ltmSHU_yjH"" raises to 2.00",2023-02-21T09:53:43.181Z,167697322318100
"""griff @ mUFeuo2kVm"" calls 0.50",2023-02-21T09:53:39.494Z,167697321949400
"""Firas @ 8s8H-GlDfP"" calls 0.50",2023-02-21T09:53:32.250Z,167697321225000
"""Bane @ 7a-8LfcZvI"" posts a big blind of 0.50",2023-02-21T09:53:28.284Z,167697320828408
"""Cal @ E18ViE79KI"" posts a small blind of 0.25",2023-02-21T09:53:28.284Z,167697320828407
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (375.60) | #4 ""ChunkNasty @ ltmSHU_yjH"" (98.95) | #7 ""Cal @ E18ViE79KI"" (239.24) | #8 ""Bane @ 7a-8LfcZvI"" (83.39) | #9 ""Firas @ 8s8H-GlDfP"" (179.04)",2023-02-21T09:53:28.284Z,167697320828401
"-- starting hand #224 (id: ot0cg47j8fnb)  (No Limit Texas Hold'em) (dealer: ""ChunkNasty @ ltmSHU_yjH"") --",2023-02-21T09:53:28.284Z,167697320828400
"-- ending hand #223 --",2023-02-21T09:53:25.324Z,167697320532402
"""Bane @ 7a-8LfcZvI"" collected 1.25 from pot",2023-02-21T09:53:25.324Z,167697320532401
"Uncalled bet of 1.00 returned to ""Bane @ 7a-8LfcZvI""",2023-02-21T09:53:25.324Z,167697320532400
"""Cal @ E18ViE79KI"" folds",2023-02-21T09:53:24.505Z,167697320450500
"""ChunkNasty @ ltmSHU_yjH"" folds",2023-02-21T09:53:23.585Z,167697320358500
"""griff @ mUFeuo2kVm"" folds",2023-02-21T09:53:22.484Z,167697320248400
"""Firas @ 8s8H-GlDfP"" folds",2023-02-21T09:52:59.258Z,167697317925800
"""Bane @ 7a-8LfcZvI"" raises to 1.50",2023-02-21T09:52:58.240Z,167697317824000
"""Cal @ E18ViE79KI"" posts a big blind of 0.50",2023-02-21T09:52:54.584Z,167697317458408
"""ChunkNasty @ ltmSHU_yjH"" posts a small blind of 0.25",2023-02-21T09:52:54.584Z,167697317458407
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (375.60) | #4 ""ChunkNasty @ ltmSHU_yjH"" (99.20) | #7 ""Cal @ E18ViE79KI"" (239.74) | #8 ""Bane @ 7a-8LfcZvI"" (82.64) | #9 ""Firas @ 8s8H-GlDfP"" (179.04)",2023-02-21T09:52:54.584Z,167697317458401
"-- starting hand #223 (id: zvyncurjjepo)  (No Limit Texas Hold'em) (dealer: ""griff @ mUFeuo2kVm"") --",2023-02-21T09:52:54.584Z,167697317458400
"-- ending hand #222 --",2023-02-21T09:52:48.581Z,167697316858103
"""ChunkNasty @ ltmSHU_yjH"" shows a 5♠, 7♣.",2023-02-21T09:52:48.581Z,167697316858102
"""Cal @ E18ViE79KI"" collected 3.25 from pot with Two Pair, J's & 9's (combination: J♣, J♦, 9♦, 9♥, Q♣)",2023-02-21T09:52:48.581Z,167697316858101
"""Cal @ E18ViE79KI"" shows a 8♦, 9♦.",2023-02-21T09:52:48.581Z,167697316858100
"""Firas @ 8s8H-GlDfP"" checks",2023-02-21T09:52:47.735Z,167697316773500
"""Cal @ E18ViE79KI"" checks",2023-02-21T09:52:45.300Z,167697316530000
"""ChunkNasty @ ltmSHU_yjH"" checks",2023-02-21T09:52:43.416Z,167697316341600
"River: Q♣, 9♥, 7♦, J♣ [J♦]",2023-02-21T09:52:42.378Z,167697316237800
"""Firas @ 8s8H-GlDfP"" checks",2023-02-21T09:52:41.507Z,167697316150700
"""Cal @ E18ViE79KI"" checks",2023-02-21T09:52:40.212Z,167697316021200
"""ChunkNasty @ ltmSHU_yjH"" checks",2023-02-21T09:52:35.503Z,167697315550300
"Turn: Q♣, 9♥, 7♦ [J♣]",2023-02-21T09:52:33.973Z,167697315397300
"""Firas @ 8s8H-GlDfP"" checks",2023-02-21T09:52:33.145Z,167697315314500
"""Cal @ E18ViE79KI"" checks",2023-02-21T09:52:32.135Z,167697315213500
"""ChunkNasty @ ltmSHU_yjH"" checks",2023-02-21T09:52:28.623Z,167697314862300
"Flop:  [Q♣, 9♥, 7♦]",2023-02-21T09:52:27.039Z,167697314703900
"""Cal @ E18ViE79KI"" checks",2023-02-21T09:52:26.229Z,167697314622900
"""ChunkNasty @ ltmSHU_yjH"" calls 1.00",2023-02-21T09:52:20.720Z,167697314072000
"""griff @ mUFeuo2kVm"" folds",2023-02-21T09:52:19.123Z,167697313912300
"""Firas @ 8s8H-GlDfP"" calls 1.00",2023-02-21T09:52:12.923Z,167697313292300
"""Bane @ 7a-8LfcZvI"" folds",2023-02-21T09:52:10.499Z,167697313049900
"""Cal @ E18ViE79KI"" posts a straddle of 1.00",2023-02-21T09:52:09.267Z,167697312926709
"""ChunkNasty @ ltmSHU_yjH"" posts a big blind of 0.50",2023-02-21T09:52:09.267Z,167697312926708
"""griff @ mUFeuo2kVm"" posts a small blind of 0.25",2023-02-21T09:52:09.267Z,167697312926707
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (375.85) | #4 ""ChunkNasty @ ltmSHU_yjH"" (100.20) | #7 ""Cal @ E18ViE79KI"" (237.49) | #8 ""Bane @ 7a-8LfcZvI"" (82.64) | #9 ""Firas @ 8s8H-GlDfP"" (180.04)",2023-02-21T09:52:09.267Z,167697312926701
"-- starting hand #222 (id: q1eedns7ocoj)  (No Limit Texas Hold'em) (dealer: ""Firas @ 8s8H-GlDfP"") --",2023-02-21T09:52:09.267Z,167697312926700
"-- ending hand #221 --",2023-02-21T09:52:06.353Z,167697312635302
"""Firas @ 8s8H-GlDfP"" collected 9.86 from pot",2023-02-21T09:52:06.353Z,167697312635301
"Uncalled bet of 7.39 returned to ""Firas @ 8s8H-GlDfP""",2023-02-21T09:52:06.353Z,167697312635300
"""Bane @ 7a-8LfcZvI"" folds",2023-02-21T09:52:05.544Z,167697312554400
"""ChunkNasty @ ltmSHU_yjH"" folds",2023-02-21T09:52:04.000Z,167697312400000
"""Firas @ 8s8H-GlDfP"" bets 7.39",2023-02-21T09:52:01.561Z,167697312156100
"Flop:  [4♥, 3♦, 2♦]",2023-02-21T09:51:49.346Z,167697310934600
"""Bane @ 7a-8LfcZvI"" calls 3.12",2023-02-21T09:51:48.501Z,167697310850100
"""ChunkNasty @ ltmSHU_yjH"" calls 3.12",2023-02-21T09:51:29.939Z,167697308993900
"""griff @ mUFeuo2kVm"" folds",2023-02-21T09:51:23.227Z,167697308322700
"""Firas @ 8s8H-GlDfP"" raises to 3.12",2023-02-21T09:51:22.190Z,167697308219000
"""Bane @ 7a-8LfcZvI"" calls 1.00",2023-02-21T09:51:11.243Z,167697307124300
"""Cal @ E18ViE79KI"" folds",2023-02-21T09:51:07.926Z,167697306792600
"""ChunkNasty @ ltmSHU_yjH"" posts a straddle of 1.00",2023-02-21T09:51:05.637Z,167697306563709
"""griff @ mUFeuo2kVm"" posts a big blind of 0.50",2023-02-21T09:51:05.637Z,167697306563708
"""Firas @ 8s8H-GlDfP"" posts a small blind of 0.25",2023-02-21T09:51:05.637Z,167697306563707
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (376.35) | #4 ""ChunkNasty @ ltmSHU_yjH"" (103.32) | #7 ""Cal @ E18ViE79KI"" (237.49) | #8 ""Bane @ 7a-8LfcZvI"" (85.76) | #9 ""Firas @ 8s8H-GlDfP"" (173.30)",2023-02-21T09:51:05.637Z,167697306563701
"-- starting hand #221 (id: 9ikxujfvhpd4)  (No Limit Texas Hold'em) (dealer: ""Bane @ 7a-8LfcZvI"") --",2023-02-21T09:51:05.637Z,167697306563700
"-- ending hand #220 --",2023-02-21T09:50:59.631Z,167697305963102
"""griff @ mUFeuo2kVm"" collected 12.75 from pot with Pair, 9's (combination: 9♦, 9♠, J♦, 8♠, 7♦)",2023-02-21T09:50:59.631Z,167697305963101
"""griff @ mUFeuo2kVm"" shows a J♦, 9♦.",2023-02-21T09:50:59.631Z,167697305963100
"""Cal @ E18ViE79KI"" checks",2023-02-21T09:50:58.779Z,167697305877900
"""griff @ mUFeuo2kVm"" checks",2023-02-21T09:50:56.234Z,167697305623400
"River: 8♠, 7♦, 9♠, 4♥ [2♣]",2023-02-21T09:50:52.627Z,167697305262700
"""Cal @ E18ViE79KI"" checks",2023-02-21T09:50:51.794Z,167697305179400
"""griff @ mUFeuo2kVm"" checks",2023-02-21T09:50:46.841Z,167697304684100
"Turn: 8♠, 7♦, 9♠ [4♥]",2023-02-21T09:50:42.959Z,167697304295900
"""griff @ mUFeuo2kVm"" calls 3.00",2023-02-21T09:50:42.146Z,167697304214600
"""Cal @ E18ViE79KI"" bets 3.00",2023-02-21T09:50:38.210Z,167697303821000
"""griff @ mUFeuo2kVm"" checks",2023-02-21T09:50:32.463Z,167697303246300
"Flop:  [8♠, 7♦, 9♠]",2023-02-21T09:50:29.350Z,167697302935000
"""griff @ mUFeuo2kVm"" calls 3.00",2023-02-21T09:50:28.531Z,167697302853100
"""Firas @ 8s8H-GlDfP"" folds",2023-02-21T09:50:02.716Z,167697300271600
"""Bane @ 7a-8LfcZvI"" folds",2023-02-21T09:50:01.767Z,167697300176700
"""Cal @ E18ViE79KI"" raises to 3.00",2023-02-21T09:50:00.833Z,167697300083300
"""ChunkNasty @ ltmSHU_yjH"" folds",2023-02-21T09:49:56.415Z,167697299641500
"""griff @ mUFeuo2kVm"" posts a straddle of 1.00",2023-02-21T09:49:54.522Z,167697299452209
"""Firas @ 8s8H-GlDfP"" posts a big blind of 0.50",2023-02-21T09:49:54.522Z,167697299452208
"""Bane @ 7a-8LfcZvI"" posts a small blind of 0.25",2023-02-21T09:49:54.522Z,167697299452207
"Player stacks: #3 ""griff @ mUFeuo2kVm"" (369.60) | #4 ""ChunkNasty @ ltmSHU_yjH"" (103.32) | #7 ""Cal @ E18ViE79KI"" (243.49) | #8 ""Bane @ 7a-8LfcZvI"" (86.01) | #9 ""Firas @ 8s8H-GlDfP"" (173.80)",2023-02-21T09:49:54.522Z,167697299452201
"-- starting hand #220 (id: 91sxvlrfhnco)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2023-02-21T09:49:54.522Z,167697299452200
"-- ending hand #219 --",2023-02-21T09:49:48.463Z,167697298846302
"""Firas @ 8s8H-GlDfP"" collected 68.91 from pot with Full House, 5's over K's (combination: 5♣, 5♦, 5♥, K♠, K♥)",2023-02-21T09:49:48.463Z,167697298846301
"""Firas @ 8s8H-GlDfP"" shows a 5♣, 5♦.",2023-02-21T09:49:48.463Z,167697298846300
"""Bane @ 7a-8LfcZvI"" calls 20.67",2023-02-21T09:49:47.601Z,167697298760100
"""Firas @ 8s8H-GlDfP"" bets 20.67",2023-02-21T09:49:32.591Z,167697297259100
"""Bane @ 7a-8LfcZvI"" checks",2023-02-21T09:49:23.511Z,167697296351100
"River: 9♦, K♠, 2♠, 5♥ [K♥]",2023-02-21T09:49:09.638Z,167697294963800
"""Bane @ 7a-8LfcZvI"" calls 6.64",2023-02-21T09:49:08.818Z,167697294881800
"""Firas @ 8s8H-GlDfP"" bets 6.64",2023-02-21T09:49:05.262Z,167697294526200
"""Bane @ 7a-8LfcZvI"" checks",2023-02-21T09:48:55.419Z,167697293541900
"Turn: 9♦, K♠, 2♠ [5♥]",2023-02-21T09:48:52.225Z,167697293222500
